Hotel name,Price,Rating
The Garden Suites,,9.1
ICON Embassy by Petit Palace,746,9
Hostal Milan,260,8
Urban Sea Hotel Atocha 113,317,8
L&H La Latina,394,8.2
Arta Hostal,176,6.6
APARTAMENTOS VIVE MADRID CENTRAL,415,9.6
HOMEnFUN Atocha,461,
Escala Suites,,8.1
CH Rayuela,236,8
Principe Pio,402,8.3
Friendly Rentals Santa Ana Boutique,290,7
HGE Apartments Atocha,263,7.3
Hostal Inter Plaza Mayor,194,6.8
Friendly Rentals Monte Esquinza,488,7.6
Apartamento Valmojado,,8.9
Hostal MH Fuencarral,380,8.8
Lotus Opera House,342,8.4
Eurosuite Malasaña 205,426,6.9
AbraCadabra Suites,191,7.7
Welcome Puerta del Sol,360,7.7
Hostal Las Fuentes,268,8.5
StayHere Gran Via,,7.3
CC Malasaña,317,8.4
Hostal Pacios,156,7.2
Hostalin Madrid Atocha,220,8.8
Hostal Rivera,192,6.7
OYO CH Murallas II,227,7.9
Hostal Inn Madrid,298,9
Woohoo Hostal Madrid,,8.5
Hostal Oporto,251,7.8
Piramides 2 Apartment,228,6.4
Fuencarral Rooms,300,8.9
Hostal Lauria,396,9.1
Hostal Charlotte,281,8.2
Home,490,9.3
Fuencarral Apartments,437,8.5
Hostal Matheu,,7.8
Pensión Carrera,300,7.7
Hispano Gran Vía,206,8.5
Residencia Universitaria Erasmo,280,8.2
Hostal Fuentesol,202,7.4
Puerta del Sol Rooms,216,7.8
Only YOU Hotel Atocha,930,9.2
Casa del Sol,,9.3
SHS Hotel Aeropuerto,329,7.1
El HostALL,3800,8
Hotel Trafalgar,375,8.2
Six Rooms Plaza Mayor,269,7.7
Hostal Atelier,304,8.7
The Bridge Huertas,253,8
Apartments Madrid Plaza Mayor-Tintoreros,,7.6
Hostal Casa Bueno,203,8.3
Rincón de Sol,302,8.2
Hostal Jemasaca-Palma61,255,7.8
Hostal Nersan,276,8.1
7rooms7 Plaza Mayor Apartments,343,8.2
Hostal Retiro,352,8.2
Apartments Madrid Principe 2,,8.3
Hostal El Pilar,215,8.1
Viviendas Turísticas Palacio Real,380,8.1
Hotel Los Condes,416,8.5
Madrid Suites SOL,360,6.4
Hostal JQC Ártico,300,7.4
Uma House Atocha,320,9.2
Apartamento Valverde 3,304,6.4
Apartamento en el Rastro de Madrid,,7.7
Apartamentos Mayor Centro,380,8.1
Good Stay Saga,525,8.1
Hostal Rober,202,8.5
Hostal San Martin,180,8.7
NH Madrid Lagasca,718,8.3
Apartment Los Balcones del Golf,320,9.1
Apartamento Green City Deco,,8
Hostal Falfes,140,8.3
Casa de Huéspedes Cuenca,140,8.2
Hostal La Casa de La Plaza,181,8.4
Hostal Bruña,306,8.5
STAY La Latina,484,
Friendly Rentals Tirso,471,7.9
Apartamento Sol Postas,,8.9
Hostal Paquita,220,8
Apartamentos Adelfas,296,7.2
Gran Via de Madrid Apartments,421,8
Urban Vida Ribera,430,8.6
Village la latina,275,7.4
Hostal Victoria II,284,8.1
Apartamento Gran Via Centro Madrid,,9.1
OYO CH Las Murallas,241,8.6
Hostal Ruano,133,7
Casa Lemus,200,7.8
Pensión Berti Madrid,200,7.1
Hostal Castilla II Puerta del Sol,342,8.5
Hostal Cervantes,255,7.9
STAY Nuñez de Balboa,1001,8.7
Apartamento Madrid Plaza Santa Ana,,8.7
Home Club Infantas V,780,9
Hostal Sol Los Angeles,236,
THC Gran Via Hostel,260,8.1
Suites You Soho,314,8.3
Hostal Corazón de Madrid,252,7.8
"Hermosilla, 65",484,7.3
Apartamento Cabestreros,,8
Fuencarral Boutique,556,8.5
CH Lemon Rooms - Madrid,230,7.1
SmartRental Chueca,880,7.5
Hostels Meetingpoint,360,7.7
