Hotel name,Price,Rating
Globales Acis & Galatea,76.0,8.0
Vincci Capitol Hotel,178.0,8.0
Eurostars Central,107.0,8.0
Hotel Cortezo,85.0,7.0
Hotel Dome,99.0,6.0
Quatro Puerta del Sol Hotel,122.0,8.0
Relais & Chateaux Hotel Orfila,298.0,10.0
Hotel Hospes Puerta de Alcala,313.0,9.0
TOTEM Madrid,174.0,9.0
NH Madrid Lagasca,163.0,8.0
Hotel Indigo Madrid - Princesa,98.0,7.0
Smartrental Collection Gran Via Centric,89.0,10.0
Only YOU Hotel Atocha,207.0,10.0
New Point Madrid,92.0,9.0
Posada del Leon de Oro,94.0,9.0
Mucho Madrid,57.0,9.0
NH Madrid Atocha,142.0,8.0
Hostal Central Palace Madrid,103.0,9.0
Hotel Catalonia Goya,114.0,8.0
Hotel Petit Palace Santa Barbara,131.0,9.0
Hostal la Zona,89.0,8.0
Hotel Trafalgar,91.0,7.0
La Posada de Alameda,82.0,8.0
Rafaelhoteles Atocha,115.0,7.0
Hotel Residencia Lisboa,87.0,8.0
Hotel Zenit Conde de Orgaz,111.0,8.0
Aparthotel G3 Galeon,56.0,8.0
Hostal Besaya,82.0,8.0
Hostal Cruz Sol,63.0,8.0
Hostal Hispano,47.0,8.0
Hotel Ateneo Puerta del Sol,100.0,8.0
Hostal la Perla Asturiana,48.0,8.0
Hostal Buenos Aires,55.0,8.0
Hotel Villa de Barajas,64.0,7.0
Hostal Falfes,32.0,8.0
Hostel Boutique Roisa,68.0,7.0
Eurostars Casa de la Lirica,108.0,8.0
Axor Feria Hotel,79.0,8.0
Relais & Chateaux Hotel Orfila,298.0,10.0
Diezmadrid,273.0,9.0
Petit Palace Lealtad Plaza,165.0,9.0
AC Hotel Carlton Madrid,117.0,8.0
"Radisson Blu Hotel, Madrid Prado",188.0,8.0
Air Rooms Madrid Airport by Premium Traveller,153.0,8.0
Only YOU Hotel Atocha,207.0,10.0
Smartrental Collection Gran Via Centric,89.0,10.0
Apartamentos Juan Bravo,64.0,8.0
Lusso Infantas,92.0,8.0
Petit Palace Preciados,91.0,8.0
Elba Madrid Alcala,90.0,8.0
Don Pio,136.0,9.0
Holiday Inn Madrid - Las Tablas,112.0,7.0
Hostal Madrid Inn,68.0,9.0
Leonardo Boutique Hotel Madrid,97.0,8.0
Hostal Carracedo,47.0,9.0
Abracadabra Suites,43.0,7.0
Hotel Mirador Puerta del Sol,79.0,8.0
Hostal Adriano,60.0,8.0
Hostal Madrid,91.0,9.0
AC Hotel Los Vascos,98.0,8.0
4C Bravo Murillo,73.0,8.0
Hostal Palacio Madrid,72.0,9.0
Petit Palace Cliper Gran Via,100.0,8.0
Roisa Suites,106.0,8.0
AC Hotel Avenida de America,95.0,8.0
GoodRooms,59.0,8.0
Hostal Abadia Madrid,76.0,8.0
Hostal La Casa de La Plaza,41.0,8.0
Bluesock Hostels Madrid,74.0,7.0
Hotel Abalu,114.0,7.0
Relais & Chateaux Hotel Orfila,298.0,10.0
Hotel Unico Madrid,304.0,9.0
Arenal Suites Madrid,127.0,10.0
Madrid Central Suites,158.0,9.0
Slow Suites Luchana,156.0,9.0
Mercure Madrid Centro,131.0,8.0
Only YOU Hotel Atocha,207.0,10.0
8 Rooms Madrid,67.0,8.0
Eurostars Madrid Gran Via,119.0,9.0
Cats Hostel Madrid Sol,110.0,8.0
Hotel Miau,112.0,8.0
Hotel Quinta De Los Cedros,142.0,9.0
Hostal MH Fuencarral,86.0,8.0
Hostal Gran Via 44,86.0,7.0
Hotel Mora,116.0,7.0
Hostal La Fontana,51.0,8.0
Madrid Suites San Mateo,64.0,8.0
Hotel Julia,64.0,8.0
Tryp Madrid Airport Suites,94.0,6.0
Aparthotel Rosales,74.0,8.0
Luz Madrid Rooms,66.0,8.0
Hostal Lauria,90.0,9.0
Vincci Centrum,193.0,8.0
Hotel Aravaca Village,102.0,8.0
Hotel Life,75.0,7.0
CC Malasana Bed & Gastro,78.0,8.0
SHS Hotel Aeropuerto,72.0,6.0
Hostal El Pilar,47.0,7.0
Hotel Barajas Plaza,60.0,7.0
Hotel Axor Barajas,97.0,8.0
RC Miguel Angel,53.0,7.0
Cason del Tormes,76.0,8.0
Relais & Chateaux Hotel Orfila,298.0,10.0
Eric Vokel Boutique Apartments - Madrid Suites,173.0,9.0
Slow Suites Augusto,164.0,9.0
Aspasios Gran Via Apartments,95.0,9.0
AC Hotel Madrid Feria,129.0,8.0
L&H La Latina,97.0,7.0
Only YOU Hotel Atocha,207.0,10.0
A&Z ULISES Guest House,53.0,10.0
Hostal Cervelo,75.0,8.0
LaNave,96.0,8.0
Hostal la Macarena,63.0,8.0
Holiday Inn Madrid-Piramides,84.0,8.0
Apartamentos Caballero de Gracia,105.0,9.0
Petit Palace Alcala,114.0,8.0
Hotel Concordy,46.0,7.0
Hostal Casa Bueno,46.0,8.0
Espahotel Plaza Basilica,104.0,7.0
Lotus Opera House,78.0,8.0
THC Latina Hostel,53.0,8.0
Hostal Madrid Sol,61.0,8.0
Agora Juan de Austria,88.0,7.0
Minas Central Suites,99.0,8.0
Hostal Dulcinea,73.0,8.0
